,Category,Class,Country,Unit,Value
2493,Number of endangered species,Fish,Colombia,Number,10.0
2494,Number of endangered species,Marine Fish,Colombia,Number,2.0
2495,Number of endangered species,Freshwater Fish,Colombia,Number,3.0
2496,Number of endangered species,Mosses,Colombia,Number,4.0
2497,Number of endangered species,Invertebrates,Colombia,Number,44.0
2498,Number of critically endangered species,Mammals,Colombia,Number,7.0
2499,Number of critically endangered species,Birds,Colombia,Number,17.0
2500,Number of critically endangered species,Reptiles,Colombia,Number,11.0
2501,Number of critically endangered species,Amphibians,Colombia,Number,14.0
2502,Number of critically endangered species,Vascular plants,Colombia,Number,112.0
2503,Number of critically endangered species,Fish,Colombia,Number,7.0
2504,Number of critically endangered species,Marine Fish,Colombia,Number,1.0
2505,Number of critically endangered species,Freshwater Fish,Colombia,Number,2.0
2506,Number of critically endangered species,Mosses,Colombia,Number,6.0
2507,Number of critically endangered species,Invertebrates,Colombia,Number,6.0
2508,Number of vulnerable species,Mammals,Colombia,Number,25.0
2509,Number of vulnerable species,Birds,Colombia,Number,67.0
2510,Number of vulnerable species,Reptiles,Colombia,Number,17.0
2511,Number of vulnerable species,Amphibians,Colombia,Number,15.0
2512,Number of vulnerable species,Vascular plants,Colombia,Number,345.0
2513,Number of vulnerable species,Fish,Colombia,Number,92.0
2514,Number of vulnerable species,Marine Fish,Colombia,Number,9.0
2515,Number of vulnerable species,Freshwater Fish,Colombia,Number,46.0
2516,Number of vulnerable species,Mosses,Colombia,Number,32.0
2517,Number of vulnerable species,Invertebrates,Colombia,Number,48.0
2518,Total number of threatened species,Mammals,Colombia,Number,42.0
2519,Total number of threatened species,Birds,Colombia,Number,140.0
2520,Total number of threatened species,Reptiles,Colombia,Number,44.0
2521,Total number of threatened species,Amphibians,Colombia,Number,55.0
2522,Total number of threatened species,Vascular plants,Colombia,Number,721.0
2523,Total number of threatened species,Fish,Colombia,Number,109.0
2524,Total number of threatened species,Marine Fish,Colombia,Number,12.0
2525,Total number of threatened species,Freshwater Fish,Colombia,Number,51.0
2526,Total number of threatened species,Mosses,Colombia,Number,42.0
2527,Total number of threatened species,Invertebrates,Colombia,Number,98.0
2528,Number of endangered indigenous species,Mammals,Colombia,Number,0.0
2529,Number of endangered indigenous species,Birds,Colombia,Number,23.0
2530,Number of endangered indigenous species,Vascular plants,Colombia,Number,175.0
2531,Number of endangered indigenous species,Freshwater Fish,Colombia,Number,2.0
2532,Number of critically endangered indigenous species,Mammals,Colombia,Number,2.0
2533,Number of critically endangered indigenous species,Birds,Colombia,Number,7.0
2534,Number of critically endangered indigenous species,Vascular plants,Colombia,Number,91.0
2535,Number of critically endangered indigenous species,Freshwater Fish,Colombia,Number,2.0
2536,Number of vulnerable indigenous species,Mammals,Colombia,Number,5.0
2537,Number of vulnerable indigenous species,Birds,Colombia,Number,21.0
2538,Number of vulnerable indigenous species,Vascular plants,Colombia,Number,205.0
2539,Number of vulnerable indigenous species,Freshwater Fish,Colombia,Number,19.0
2540,Total number of indigenous threatened species,Mammals,Colombia,Number,7.0
2541,Total number of indigenous threatened species,Birds,Colombia,Number,51.0
2542,Total number of indigenous threatened species,Vascular plants,Colombia,Number,471.0
2543,Total number of indigenous threatened species,Freshwater Fish,Colombia,Number,23.0
2544,Threatened species as % of known species,Mammals,Colombia,Percentage,8.015
2545,Threatened species as % of known species,Birds,Colombia,Percentage,7.334
2546,Threatened species as % of known species,Reptiles,Colombia,Percentage,6.962000000000001
2547,Threatened species as % of known species,Amphibians,Colombia,Percentage,6.651
2548,Threatened species as % of known species,Vascular plants,Colombia,Percentage,2.927
2549,Threatened species as % of known species,Fish,Colombia,Percentage,2.662
2550,Threatened species as % of known species,Marine Fish,Colombia,Percentage,0.465
2551,Threatened species as % of known species,Freshwater Fish,Colombia,Percentage,3.353
2552,Threatened species as % of known species,Mosses,Colombia,Percentage,2.445
2553,Threatened species as % of known species,Invertebrates,Colombia,Percentage,0.8909999999999999
2554,Threatened indigenous species as % of indigenous spec.,Mammals,Colombia,Percentage,12.069
2555,Threatened indigenous species as % of indigenous spec.,Birds,Colombia,Percentage,62.195
2556,Threatened indigenous species as % of indigenous spec.,Vascular plants,Colombia,Percentage,10.312999999999999
2557,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Colombia,Percentage,6.267
2558,Total number of known species,Mosses,Estonia,Number,598.0
2559,Total number of known species,Lichens,Estonia,Number,556.0
2560,Total number of known species,Invertebrates,Estonia,Number,9808.0
2561,Total number of indigenous known species,Mosses,Estonia,Number,597.0
2562,Total number of indigenous known species,Lichens,Estonia,Number,551.0
2563,Total number of indigenous known species,Invertebrates,Estonia,Number,9489.0
2564,Number of endangered species,Reptiles,Estonia,Number,1.0
2565,Number of endangered species,Marine Fish,Estonia,Number,1.0
2566,Number of endangered species,Freshwater Fish,Estonia,Number,1.0
2567,Number of endangered species,Mosses,Estonia,Number,24.0
2568,Number of endangered species,Lichens,Estonia,Number,74.0
2569,Number of endangered species,Invertebrates,Estonia,Number,43.0
2570,Number of critically endangered species,Mammals,Estonia,Number,2.0
2571,Number of critically endangered species,Mosses,Estonia,Number,19.0
2572,Number of critically endangered species,Lichens,Estonia,Number,64.0
2573,Number of critically endangered species,Invertebrates,Estonia,Number,39.0
2574,Number of vulnerable species,Marine Fish,Estonia,Number,1.0
2575,Number of vulnerable species,Mosses,Estonia,Number,116.0
2576,Number of vulnerable species,Lichens,Estonia,Number,43.0
2577,Number of vulnerable species,Invertebrates,Estonia,Number,37.0
2578,Total number of threatened species,Mosses,Estonia,Number,159.0
2579,Total number of threatened species,Lichens,Estonia,Number,181.0
2580,Total number of threatened species,Invertebrates,Estonia,Number,119.0
2581,Number of endangered indigenous species,Reptiles,Estonia,Number,1.0
2582,Number of endangered indigenous species,Marine Fish,Estonia,Number,1.0
2583,Number of endangered indigenous species,Freshwater Fish,Estonia,Number,1.0
2584,Number of endangered indigenous species,Mosses,Estonia,Number,24.0
2585,Number of endangered indigenous species,Lichens,Estonia,Number,74.0
2586,Number of endangered indigenous species,Invertebrates,Estonia,Number,43.0
2587,Number of critically endangered indigenous species,Mammals,Estonia,Number,2.0
2588,Number of critically endangered indigenous species,Mosses,Estonia,Number,19.0
2589,Number of critically endangered indigenous species,Lichens,Estonia,Number,64.0
2590,Number of critically endangered indigenous species,Invertebrates,Estonia,Number,39.0
2591,Number of vulnerable indigenous species,Marine Fish,Estonia,Number,1.0
2592,Number of vulnerable indigenous species,Mosses,Estonia,Number,116.0
2593,Number of vulnerable indigenous species,Lichens,Estonia,Number,43.0
2594,Number of vulnerable indigenous species,Invertebrates,Estonia,Number,37.0
2595,Total number of indigenous threatened species,Mosses,Estonia,Number,159.0
2596,Total number of indigenous threatened species,Lichens,Estonia,Number,181.0
2597,Total number of indigenous threatened species,Invertebrates,Estonia,Number,119.0
2598,Threatened species as % of known species,Mosses,Estonia,Percentage,26.589000000000002
2599,Threatened species as % of known species,Lichens,Estonia,Percentage,32.554
2600,Threatened species as % of known species,Invertebrates,Estonia,Percentage,1.213
2601,Threatened indigenous species as % of indigenous spec.,Mosses,Estonia,Percentage,26.633000000000003
2602,Threatened indigenous species as % of indigenous spec.,Lichens,Estonia,Percentage,32.849000000000004
2603,Threatened indigenous species as % of indigenous spec.,Invertebrates,Estonia,Percentage,1.254
2604,Total number of indigenous known species,Birds,Israel,Number,213.0
2605,Total number of indigenous known species,Amphibians,Israel,Number,7.0
2606,Total number of indigenous known species,Fish,Israel,Number,32.0
2607,Total number of indigenous known species,Freshwater Fish,Israel,Number,32.0
2608,Number of endangered indigenous species,Birds,Israel,Number,13.0
2609,Number of endangered indigenous species,Amphibians,Israel,Number,3.0
2610,Number of endangered indigenous species,Fish,Israel,Number,0.0
2611,Number of endangered indigenous species,Freshwater Fish,Israel,Number,0.0
2612,Number of critically endangered indigenous species,Birds,Israel,Number,21.0
2613,Number of critically endangered indigenous species,Amphibians,Israel,Number,2.0
2614,Number of critically endangered indigenous species,Fish,Israel,Number,6.0
2615,Number of critically endangered indigenous species,Freshwater Fish,Israel,Number,6.0
2616,Number of vulnerable indigenous species,Birds,Israel,Number,31.0
2617,Number of vulnerable indigenous species,Amphibians,Israel,Number,1.0
2618,Number of vulnerable indigenous species,Fish,Israel,Number,0.0
2619,Number of vulnerable indigenous species,Freshwater Fish,Israel,Number,0.0
2620,Total number of indigenous threatened species,Birds,Israel,Number,65.0
2621,Total number of indigenous threatened species,Amphibians,Israel,Number,6.0
2622,Total number of indigenous threatened species,Vascular plants,Israel,Number,377.0
2623,Total number of indigenous threatened species,Fish,Israel,Number,6.0
2624,Total number of indigenous threatened species,Freshwater Fish,Israel,Number,6.0
2625,Threatened indigenous species as % of indigenous spec.,Birds,Israel,Percentage,30.516
2626,Threatened indigenous species as % of indigenous spec.,Amphibians,Israel,Percentage,85.714
2627,Threatened indigenous species as % of indigenous spec.,Vascular plants,Israel,Percentage,16.477
2628,Threatened indigenous species as % of indigenous spec.,Fish,Israel,Percentage,18.75
2629,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Israel,Percentage,18.75
2630,Total number of known species,Mammals,Latvia,Number,62.0
2631,Total number of known species,Birds,Latvia,Number,233.0
2632,Total number of known species,Reptiles,Latvia,Number,7.0
2633,Total number of known species,Amphibians,Latvia,Number,13.0
2634,Total number of known species,Vascular plants,Latvia,Number,1937.0
2635,Total number of known species,Fish,Latvia,Number,87.0
2636,Total number of known species,Marine Fish,Latvia,Number,42.0
2637,Total number of known species,Freshwater Fish,Latvia,Number,45.0
2638,Total number of indigenous known species,Mammals,Latvia,Number,54.0
2639,Total number of indigenous known species,Birds,Latvia,Number,231.0
2640,Total number of indigenous known species,Reptiles,Latvia,Number,7.0
2641,Total number of indigenous known species,Amphibians,Latvia,Number,13.0
2642,Total number of indigenous known species,Vascular plants,Latvia,Number,1304.0
2643,Total number of indigenous known species,Fish,Latvia,Number,72.0
2644,Total number of indigenous known species,Marine Fish,Latvia,Number,27.0
2645,Total number of indigenous known species,Freshwater Fish,Latvia,Number,45.0
2646,Number of endangered species,Mammals,Latvia,Number,3.0
2647,Number of endangered species,Birds,Latvia,Number,19.0
2648,Number of endangered species,Reptiles,Latvia,Number,1.0
2649,Number of endangered species,Amphibians,Latvia,Number,1.0
2650,Number of endangered species,Vascular plants,Latvia,Number,110.0
2651,Number of endangered species,Fish,Latvia,Number,0.0
2652,Number of endangered species,Marine Fish,Latvia,Number,0.0
2653,Number of endangered species,Freshwater Fish,Latvia,Number,0.0
2654,Number of endangered species,Mosses,Latvia,Number,41.0
2655,Number of endangered species,Lichens,Latvia,Number,18.0
2656,Number of endangered species,Invertebrates,Latvia,Number,38.0
2657,Number of critically endangered species,Mammals,Latvia,Number,0.0
2658,Number of critically endangered species,Birds,Latvia,Number,4.0
2659,Number of critically endangered species,Reptiles,Latvia,Number,1.0
2660,Number of critically endangered species,Amphibians,Latvia,Number,1.0
2661,Number of critically endangered species,Vascular plants,Latvia,Number,16.0
2662,Number of critically endangered species,Fish,Latvia,Number,1.0
2663,Number of critically endangered species,Marine Fish,Latvia,Number,1.0
2664,Number of critically endangered species,Mosses,Latvia,Number,3.0
2665,Number of critically endangered species,Lichens,Latvia,Number,2.0
2666,Number of critically endangered species,Invertebrates,Latvia,Number,7.0
2667,Number of vulnerable species,Mammals,Latvia,Number,2.0
2668,Number of vulnerable species,Birds,Latvia,Number,16.0
2669,Number of vulnerable species,Reptiles,Latvia,Number,0.0
2670,Number of vulnerable species,Amphibians,Latvia,Number,2.0
2671,Number of vulnerable species,Vascular plants,Latvia,Number,83.0
2672,Number of vulnerable species,Fish,Latvia,Number,1.0
2673,Number of vulnerable species,Freshwater Fish,Latvia,Number,1.0
2674,Number of vulnerable species,Mosses,Latvia,Number,17.0
2675,Number of vulnerable species,Lichens,Latvia,Number,4.0
2676,Number of vulnerable species,Invertebrates,Latvia,Number,34.0
2677,Total number of threatened species,Mammals,Latvia,Number,5.0
2678,Total number of threatened species,Birds,Latvia,Number,39.0
2679,Total number of threatened species,Reptiles,Latvia,Number,2.0
2680,Total number of threatened species,Amphibians,Latvia,Number,4.0
2681,Total number of threatened species,Vascular plants,Latvia,Number,209.0
2682,Total number of threatened species,Fish,Latvia,Number,2.0
2683,Total number of threatened species,Marine Fish,Latvia,Number,1.0
2684,Total number of threatened species,Freshwater Fish,Latvia,Number,1.0
2685,Total number of threatened species,Mosses,Latvia,Number,61.0
2686,Total number of threatened species,Lichens,Latvia,Number,24.0
2687,Total number of threatened species,Invertebrates,Latvia,Number,79.0
2688,Number of endangered indigenous species,Mammals,Latvia,Number,3.0
2689,Number of endangered indigenous species,Birds,Latvia,Number,19.0
2690,Number of endangered indigenous species,Reptiles,Latvia,Number,1.0
2691,Number of endangered indigenous species,Amphibians,Latvia,Number,1.0
2692,Number of endangered indigenous species,Vascular plants,Latvia,Number,110.0
2693,Number of endangered indigenous species,Fish,Latvia,Number,0.0
2694,Number of endangered indigenous species,Marine Fish,Latvia,Number,0.0
2695,Number of endangered indigenous species,Freshwater Fish,Latvia,Number,0.0
2696,Number of critically endangered indigenous species,Mammals,Latvia,Number,0.0
2697,Number of critically endangered indigenous species,Birds,Latvia,Number,4.0
2698,Number of critically endangered indigenous species,Reptiles,Latvia,Number,1.0
2699,Number of critically endangered indigenous species,Amphibians,Latvia,Number,1.0
2700,Number of critically endangered indigenous species,Vascular plants,Latvia,Number,16.0
2701,Number of critically endangered indigenous species,Fish,Latvia,Number,1.0
2702,Number of critically endangered indigenous species,Marine Fish,Latvia,Number,1.0
2703,Number of vulnerable indigenous species,Mammals,Latvia,Number,2.0
2704,Number of vulnerable indigenous species,Birds,Latvia,Number,16.0
2705,Number of vulnerable indigenous species,Reptiles,Latvia,Number,0.0
2706,Number of vulnerable indigenous species,Amphibians,Latvia,Number,1.0
2707,Number of vulnerable indigenous species,Vascular plants,Latvia,Number,83.0
2708,Number of vulnerable indigenous species,Fish,Latvia,Number,1.0
2709,Number of vulnerable indigenous species,Freshwater Fish,Latvia,Number,1.0
2710,Total number of indigenous threatened species,Mammals,Latvia,Number,5.0
2711,Total number of indigenous threatened species,Birds,Latvia,Number,39.0
2712,Total number of indigenous threatened species,Reptiles,Latvia,Number,2.0
2713,Total number of indigenous threatened species,Amphibians,Latvia,Number,3.0
2714,Total number of indigenous threatened species,Vascular plants,Latvia,Number,209.0
2715,Total number of indigenous threatened species,Fish,Latvia,Number,2.0
2716,Total number of indigenous threatened species,Marine Fish,Latvia,Number,1.0
2717,Total number of indigenous threatened species,Freshwater Fish,Latvia,Number,1.0
2718,Threatened species as % of known species,Mammals,Latvia,Percentage,8.065
2719,Threatened species as % of known species,Birds,Latvia,Percentage,16.738
2720,Threatened species as % of known species,Reptiles,Latvia,Percentage,28.570999999999998
2721,Threatened species as % of known species,Amphibians,Latvia,Percentage,30.769000000000002
2722,Threatened species as % of known species,Vascular plants,Latvia,Percentage,10.79
2723,Threatened species as % of known species,Fish,Latvia,Percentage,2.299
2724,Threatened species as % of known species,Marine Fish,Latvia,Percentage,2.381
2725,Threatened species as % of known species,Freshwater Fish,Latvia,Percentage,2.222
2726,Threatened indigenous species as % of indigenous spec.,Mammals,Latvia,Percentage,9.259
2727,Threatened indigenous species as % of indigenous spec.,Birds,Latvia,Percentage,16.883
2728,Threatened indigenous species as % of indigenous spec.,Reptiles,Latvia,Percentage,28.570999999999998
2729,Threatened indigenous species as % of indigenous spec.,Amphibians,Latvia,Percentage,23.076999999999998
2730,Threatened indigenous species as % of indigenous spec.,Vascular plants,Latvia,Percentage,16.028
2731,Threatened indigenous species as % of indigenous spec.,Fish,Latvia,Percentage,2.778
2732,Threatened indigenous species as % of indigenous spec.,Marine Fish,Latvia,Percentage,3.7039999999999997
2733,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Latvia,Percentage,2.222
2734,Number of endangered species,Mammals,Brazil,Number,43.0
2735,Number of endangered species,Birds,Brazil,Number,71.0
2736,Number of endangered species,Reptiles,Brazil,Number,50.0
2737,Number of endangered species,Amphibians,Brazil,Number,12.0
2738,Number of endangered species,Fish,Brazil,Number,126.0
2739,Number of endangered species,Marine Fish,Brazil,Number,14.0
2740,Number of endangered species,Freshwater Fish,Brazil,Number,112.0
2741,Number of endangered species,Invertebrates,Brazil,Number,104.0
2742,Number of critically endangered species,Mammals,Brazil,Number,12.0
2743,Number of critically endangered species,Birds,Brazil,Number,42.0
2744,Number of critically endangered species,Reptiles,Brazil,Number,10.0
2745,Number of critically endangered species,Amphibians,Brazil,Number,18.0
2746,Number of critically endangered species,Fish,Brazil,Number,135.0
2747,Number of critically endangered species,Marine Fish,Brazil,Number,34.0
2748,Number of critically endangered species,Freshwater Fish,Brazil,Number,101.0
2749,Number of critically endangered species,Invertebrates,Brazil,Number,101.0
2750,Number of vulnerable species,Mammals,Brazil,Number,55.0
2751,Number of vulnerable species,Birds,Brazil,Number,120.0
2752,Number of vulnerable species,Reptiles,Brazil,Number,20.0
2753,Number of vulnerable species,Amphibians,Brazil,Number,11.0
2754,Number of vulnerable species,Fish,Brazil,Number,148.0
2755,Number of vulnerable species,Marine Fish,Brazil,Number,50.0
2756,Number of vulnerable species,Freshwater Fish,Brazil,Number,98.0
2757,Number of vulnerable species,Invertebrates,Brazil,Number,94.0
2758,Total number of threatened species,Mammals,Brazil,Number,110.0
2759,Total number of threatened species,Birds,Brazil,Number,234.0
2760,Total number of threatened species,Reptiles,Brazil,Number,80.0
2761,Total number of threatened species,Amphibians,Brazil,Number,38.0
2762,Total number of threatened species,Fish,Brazil,Number,409.0
2763,Total number of threatened species,Marine Fish,Brazil,Number,98.0
2764,Total number of threatened species,Freshwater Fish,Brazil,Number,311.0
2765,Total number of threatened species,Invertebrates,Brazil,Number,299.0
2766,Total number of known species,Mosses,Australia,Number,1781.0
2767,Total number of known species,Lichens,Australia,Number,3860.0
2768,Total number of known species,Invertebrates,Australia,Number,110830.0
2769,Total number of indigenous known species,Mosses,Australia,Number,1776.0
2770,Total number of indigenous known species,Lichens,Australia,Number,3878.0
2771,Number of endangered species,Invertebrates,Australia,Number,22.0
2772,Number of critically endangered species,Invertebrates,Australia,Number,30.0
2773,Number of vulnerable species,Mosses,Australia,Number,1.0
2774,Number of vulnerable species,Invertebrates,Australia,Number,13.0
2775,Total number of threatened species,Mosses,Australia,Number,1.0
2776,Total number of threatened species,Invertebrates,Australia,Number,65.0
2777,Threatened species as % of known species,Mosses,Australia,Percentage,0.055999999999999994
2778,Threatened species as % of known species,Invertebrates,Australia,Percentage,0.059000000000000004
2779,Total number of known species,Mosses,Belgium,Number,521.0
2780,Total number of known species,Lichens,Belgium,Number,838.0
2781,Total number of known species,Invertebrates,Belgium,Number,5238.0
2782,Total number of indigenous known species,Mosses,Belgium,Number,521.0
2783,Total number of indigenous known species,Lichens,Belgium,Number,838.0
2784,Total number of indigenous known species,Invertebrates,Belgium,Number,5227.0
2785,Number of endangered species,Invertebrates,Belgium,Number,201.0
2786,Number of critically endangered species,Invertebrates,Belgium,Number,135.0
2787,Number of vulnerable species,Invertebrates,Belgium,Number,230.0
2788,Total number of threatened species,Mosses,Belgium,Number,140.0
2789,Total number of threatened species,Lichens,Belgium,Number,495.0
2790,Total number of threatened species,Invertebrates,Belgium,Number,566.0
2791,Number of endangered indigenous species,Invertebrates,Belgium,Number,201.0
2792,Number of critically endangered indigenous species,Invertebrates,Belgium,Number,135.0
2793,Number of vulnerable indigenous species,Invertebrates,Belgium,Number,230.0
2794,Total number of indigenous threatened species,Mosses,Belgium,Number,140.0
2795,Total number of indigenous threatened species,Lichens,Belgium,Number,495.0
2796,Total number of indigenous threatened species,Invertebrates,Belgium,Number,566.0
2797,Threatened species as % of known species,Mosses,Belgium,Percentage,26.871
2798,Threatened species as % of known species,Lichens,Belgium,Percentage,59.068999999999996
2799,Threatened species as % of known species,Invertebrates,Belgium,Percentage,10.806
2800,Threatened indigenous species as % of indigenous spec.,Mosses,Belgium,Percentage,26.871
2801,Threatened indigenous species as % of indigenous spec.,Lichens,Belgium,Percentage,59.068999999999996
2802,Threatened indigenous species as % of indigenous spec.,Invertebrates,Belgium,Percentage,10.828
2803,Total number of known species,Mosses,Czech Republic,Number,892.0
2804,Total number of known species,Lichens,Czech Republic,Number,1526.0
2805,Total number of known species,Invertebrates,Czech Republic,Number,32627.0
2806,Number of endangered species,Mosses,Czech Republic,Number,88.0
2807,Number of endangered species,Lichens,Czech Republic,Number,186.0
2808,Number of endangered species,Invertebrates,Czech Republic,Number,1086.0
2809,Number of critically endangered species,Mosses,Czech Republic,Number,70.0
2810,Number of critically endangered species,Lichens,Czech Republic,Number,136.0
2811,Number of critically endangered species,Invertebrates,Czech Republic,Number,960.0
2812,Number of vulnerable species,Mosses,Czech Republic,Number,93.0
2813,Number of vulnerable species,Lichens,Czech Republic,Number,247.0
2814,Number of vulnerable species,Invertebrates,Czech Republic,Number,1266.0
2815,Total number of threatened species,Mosses,Czech Republic,Number,251.0
2816,Total number of threatened species,Lichens,Czech Republic,Number,569.0
2817,Total number of threatened species,Invertebrates,Czech Republic,Number,3312.0
2818,Threatened species as % of known species,Mosses,Czech Republic,Percentage,28.139
2819,Threatened species as % of known species,Lichens,Czech Republic,Percentage,37.287
2820,Threatened species as % of known species,Invertebrates,Czech Republic,Percentage,10.151
2821,Total number of known species,Lichens,Denmark,Number,676.0
2822,Total number of known species,Invertebrates,Denmark,Number,3731.0
2823,Number of endangered species,Lichens,Denmark,Number,57.0
2824,Number of endangered species,Invertebrates,Denmark,Number,156.0
2825,Number of critically endangered species,Lichens,Denmark,Number,143.0
2826,Number of critically endangered species,Invertebrates,Denmark,Number,96.0
2827,Number of vulnerable species,Lichens,Denmark,Number,99.0
2828,Number of vulnerable species,Invertebrates,Denmark,Number,272.0
2829,Total number of threatened species,Lichens,Denmark,Number,299.0
2830,Total number of threatened species,Invertebrates,Denmark,Number,524.0
2831,Threatened species as % of known species,Lichens,Denmark,Percentage,44.231
2832,Threatened species as % of known species,Invertebrates,Denmark,Percentage,14.044
2833,Total number of known species,Mosses,Ireland,Number,596.0
2834,Total number of known species,Invertebrates,Ireland,Number,1193.0
2835,Number of endangered species,Mosses,Ireland,Number,30.0
2836,Number of endangered species,Invertebrates,Ireland,Number,51.0
2837,Number of critically endangered species,Mosses,Ireland,Number,19.0
2838,Number of critically endangered species,Invertebrates,Ireland,Number,27.0
2839,Number of vulnerable species,Mosses,Ireland,Number,64.0
2840,Number of vulnerable species,Invertebrates,Ireland,Number,97.0
2841,Total number of threatened species,Mosses,Ireland,Number,113.0
2842,Total number of threatened species,Invertebrates,Ireland,Number,175.0
2843,Threatened species as % of known species,Mosses,Ireland,Percentage,18.96
2844,Threatened species as % of known species,Invertebrates,Ireland,Percentage,14.669
2845,Total number of known species,Mosses,Japan,Number,1800.0
2846,Total number of known species,Lichens,Japan,Number,1600.0
2847,Total number of known species,Invertebrates,Japan,Number,5300.0
2848,Number of endangered species,Mosses,Japan,Number,138.0
2849,Number of endangered species,Lichens,Japan,Number,41.0
2850,Number of endangered species,Invertebrates,Japan,Number,22.0
2851,Number of vulnerable species,Mosses,Japan,Number,103.0
2852,Number of vulnerable species,Lichens,Japan,Number,20.0
2853,Number of vulnerable species,Invertebrates,Japan,Number,43.0
2854,Total number of threatened species,Mosses,Japan,Number,241.0
2855,Total number of threatened species,Lichens,Japan,Number,61.0
2856,Total number of threatened species,Invertebrates,Japan,Number,65.0
2857,Threatened species as % of known species,Mosses,Japan,Percentage,13.389000000000001
2858,Threatened species as % of known species,Lichens,Japan,Percentage,3.813
2859,Threatened species as % of known species,Invertebrates,Japan,Percentage,1.226
2860,Total number of known species,Mosses,Korea,Number,925.0
2861,Total number of known species,Lichens,Korea,Number,1133.0
2862,Total number of indigenous known species,Mammals,Netherlands,Number,53.0
2863,Total number of indigenous known species,Birds,Netherlands,Number,168.0
2864,Total number of indigenous known species,Reptiles,Netherlands,Number,7.0
2865,Total number of indigenous known species,Vascular plants,Netherlands,Number,1395.0
2866,Total number of indigenous known species,Mosses,Netherlands,Number,517.0
2867,Total number of indigenous known species,Lichens,Netherlands,Number,683.0
2868,Total number of indigenous known species,Invertebrates,Netherlands,Number,507.0
2869,Number of endangered indigenous species,Mammals,Netherlands,Number,3.0
2870,Number of endangered indigenous species,Birds,Netherlands,Number,10.0
2871,Number of endangered indigenous species,Reptiles,Netherlands,Number,0.0
2872,Number of endangered indigenous species,Amphibians,Netherlands,Number,2.0
2873,Number of endangered indigenous species,Vascular plants,Netherlands,Number,117.0
2874,Number of endangered indigenous species,Mosses,Netherlands,Number,27.0
2875,Number of endangered indigenous species,Lichens,Netherlands,Number,42.0
2876,Number of endangered indigenous species,Invertebrates,Netherlands,Number,60.0
2877,Number of critically endangered indigenous species,Mammals,Netherlands,Number,2.0
2878,Number of critically endangered indigenous species,Birds,Netherlands,Number,10.0
2879,Number of critically endangered indigenous species,Reptiles,Netherlands,Number,1.0
2880,Number of critically endangered indigenous species,Vascular plants,Netherlands,Number,71.0
2881,Number of critically endangered indigenous species,Mosses,Netherlands,Number,52.0
2882,Number of critically endangered indigenous species,Lichens,Netherlands,Number,49.0
2883,Number of critically endangered indigenous species,Invertebrates,Netherlands,Number,51.0
2884,Number of vulnerable indigenous species,Mammals,Netherlands,Number,6.0
2885,Number of vulnerable indigenous species,Birds,Netherlands,Number,21.0
2886,Number of vulnerable indigenous species,Reptiles,Netherlands,Number,4.0
2887,Number of vulnerable indigenous species,Amphibians,Netherlands,Number,3.0
2888,Number of vulnerable indigenous species,Vascular plants,Netherlands,Number,168.0
2889,Number of vulnerable indigenous species,Mosses,Netherlands,Number,43.0
2890,Number of vulnerable indigenous species,Lichens,Netherlands,Number,65.0
2891,Number of vulnerable indigenous species,Invertebrates,Netherlands,Number,51.0
2892,Total number of indigenous threatened species,Mammals,Netherlands,Number,11.0
2893,Total number of indigenous threatened species,Birds,Netherlands,Number,41.0
2894,Total number of indigenous threatened species,Reptiles,Netherlands,Number,5.0
2895,Total number of indigenous threatened species,Vascular plants,Netherlands,Number,356.0
2896,Total number of indigenous threatened species,Mosses,Netherlands,Number,122.0
2897,Total number of indigenous threatened species,Lichens,Netherlands,Number,156.0
2898,Total number of indigenous threatened species,Invertebrates,Netherlands,Number,162.0
2899,Threatened indigenous species as % of indigenous spec.,Mammals,Netherlands,Percentage,20.755
2900,Threatened indigenous species as % of indigenous spec.,Birds,Netherlands,Percentage,24.4
2901,Threatened indigenous species as % of indigenous spec.,Reptiles,Netherlands,Percentage,71.429
2902,Threatened indigenous species as % of indigenous spec.,Vascular plants,Netherlands,Percentage,25.52
2903,Threatened indigenous species as % of indigenous spec.,Mosses,Netherlands,Percentage,23.598000000000003
2904,Threatened indigenous species as % of indigenous spec.,Lichens,Netherlands,Percentage,22.84
2905,Threatened indigenous species as % of indigenous spec.,Invertebrates,Netherlands,Percentage,31.953000000000003
2906,Total number of known species,Mosses,Spain,Number,1100.0
2907,Total number of known species,Lichens,Spain,Number,2426.0
2908,Total number of indigenous known species,Mosses,Spain,Number,1100.0
2909,Total number of indigenous known species,Lichens,Spain,Number,2426.0
2910,Total number of indigenous known species,Invertebrates,Spain,Number,57000.0
2911,Number of endangered species,Mosses,Spain,Number,52.0
2912,Number of endangered species,Invertebrates,Spain,Number,52.0
2913,Number of critically endangered species,Mosses,Spain,Number,46.0
2914,Number of critically endangered species,Invertebrates,Spain,Number,18.0
2915,Number of vulnerable species,Mosses,Spain,Number,161.0
2916,Number of vulnerable species,Invertebrates,Spain,Number,203.0
2917,Total number of threatened species,Mosses,Spain,Number,259.0
2918,Total number of threatened species,Invertebrates,Spain,Number,273.0
2919,Number of endangered indigenous species,Mosses,Spain,Number,52.0
2920,Number of endangered indigenous species,Invertebrates,Spain,Number,52.0
